iter	Passed	Remaining
828	4259	878
829	4266	873
830	4269	868
831	4272	862
832	4279	857
833	4287	853
834	4294	848
835	4299	843
836	4303	837
837	4309	833
838	4313	827
839	4316	822
840	4323	817
841	4326	811
842	4329	806
843	4332	800
844	4336	795
845	4339	789
846	4341	784
847	4346	779
848	4350	773
849	4352	768
850	4355	762
851	4358	757
852	4361	751
853	4364	746
854	4367	740
855	4370	735
856	4374	729
857	4377	724
858	4381	719
859	4384	713
860	4388	708
861	4391	703
862	4394	697
863	4398	692
864	4402	687
865	4405	681
866	4407	676
867	4412	670
868	4415	665
869	4418	660
870	4421	654
871	4426	649
872	4428	644
873	4431	638
874	4433	633
875	4440	628
876	4442	623
877	4445	617
878	4455	613
879	4458	608
880	4462	602
881	4472	598
882	4476	593
883	4481	588
884	4484	582
885	4487	577
886	4491	572
887	4495	567
888	4498	561
889	4500	556
890	4506	551
891	4509	546
892	4512	540
893	4515	535
894	4518	530
895	4522	524
896	4525	519
897	4528	514
898	4533	509
899	4535	503
900	4538	498
901	4540	493
902	4544	488
903	4549	483
904	4552	477
905	4556	472
906	4560	467
907	4563	462
908	4565	457
909	4569	451
910	4573	446
911	4575	441
912	4578	436
913	4583	431
914	4587	426
915	4590	420
916	4595	415
917	4600	410
918	4602	405
919	4606	400
920	4610	395
921	4613	390
922	4615	385
923	4622	380
924	4631	375
925	4637	370
926	4640	365
927	4643	360
928	4648	355
929	4650	350
930	4653	344
931	4658	339
932	4661	334
933	4663	329
934	4667	324
935	4670	319
936	4673	314
937	4675	309
938	4678	303
939	4682	298
940	4686	293
941	4689	288
942	4691	283
943	4695	278
944	4698	273
945	4702	268
946	4704	263
947	4708	258
948	4712	253
949	4715	248
950	4717	243
951	4721	238
952	4725	233
953	4727	227
954	4730	222
955	4734	217
956	4737	212
957	4740	207
958	4742	202
959	4746	197
960	4748	192
961	4751	187
962	4753	182
963	4757	177
964	4760	172
965	4763	167
966	4767	162
967	4771	157
968	4773	152
969	4776	147
970	4782	142
971	4789	137
972	4792	132
973	4797	128
974	4800	123
975	4803	118
976	4807	113
977	4810	108
978	4812	103
979	4815	98
980	4819	93
981	4822	88
982	4825	83
983	4827	78
984	4831	73
985	4834	68
986	4837	63
987	4841	58
988	4844	53
989	4846	48
990	4850	44
991	4852	39
992	4856	34
993	4859	29
994	4861	24
995	4864	19
996	4868	14
997	4872	9
998	4875	4
999	4877	0
